Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Швачка,Марта,Богданівна,Жіноча,1951-09-14,Астронавт,село Бахмут,"узвіз Сталепрокатна, буд. 9, Коростень, 02397",669-60-34,andriishynmakar@example.org
Вдовиченко,Пармен,Олегович,Чоловіча,1963-03-24,Режисер,місто Світлодарськ,"набережна Сінна, буд. 60 кв. 680, Ладижин, 19051",097 15 52,hermanvashchenko-zakharchenko@example.org
Іваничук,Зиновій,Олександрович,Чоловіча,1952-09-01,Бізнесмен,хутір Полтава,"шосе Пересипський узвіз, буд. 370 кв. 469, Костопіль, 60997",+380 86 617-79-58,oliinykles@example.org
Ващенко-Захарченко,Богдан,Романович,Чоловіча,1996-12-02,Шериф,село Красноперекопськ,"сквер Гетьманський, буд. 028, Старобільськ, 52688",042 571 96 60,oles47@example.org
Корпанюк,Симон,Іванович,Чоловіча,1960-08-14,Дипломат,селище Сарни,"шосе Килимовий, буд. 1, Довжанськ, 45817",156-72-07,marianadotsenko@example.org
Ющенко,Болеслав,Романович,Чоловіча,1953-06-28,Публіцист,хутір Збараж,"парк Водопровідний 1-й, буд. 455 кв. 722, Сміла, 74227",+380 (53) 061-11-83,roksolana26@example.net
Микитюк,Єлисей,Миколайович,Чоловіча,2004-03-06,Кінолог,хутір Золотоноша,"сквер Овідіопольський, буд. 2, Зміїв, 88677",+380 80 515-50-30,ysaienko@example.net
Салій,Левко,Євгенович,Чоловіча,1962-02-17,Єгер,селище Вознесенськ,"шосе Наявний 4-й, буд. 1 кв. 644, Калинівка , 29265",+380 24 569-66-97,artemarkhypenko@example.net
Архипенко,Лілія,Михайлівна,Жіноча,1986-07-22,Геолог,хутір Горохів,"проспект Балківська, буд. 45 кв. 40, Вижниця, 70990",+380 88 031-65-47,jhavryliv@example.org
Дуплій,Болеслав,Михайлович,Чоловіча,1991-10-14,Промисловець,місто Перечин,"проспект Толбухіна, буд. 849, Надвірна, 44386",294-88-10,prokhirmamchur@example.org
Деревʼянко,Еріка,Георгіївна,Жіноча,1975-12-17,Реставратор,місто Бердянськ,"вулиця Наявний 4-й, буд. 85 кв. 3, Зугрес, 42145",056 268 48 70,tetianazaika@example.org
Рябошапка,Ольга,Володимирівна,Жіноча,2007-10-04,Няня,хутір Татарбунари,"вулиця Пересипська 9-та, буд. 32 кв. 35, Слов'янськ, 81669",014 667 50 08,pstets@example.com
Авраменко,Оксана,Олегівна,Жіноча,1996-08-01,Гірничий інженер,місто Помічна,"шосе Басейний 4-й, буд. 050 кв. 1, Ківерці, 99554",942 83 56,vieshchenko@example.net
Пушкар,Олег,Андрійович,Чоловіча,1977-12-20,Біолог,село Луганськ,"провулок Лінійна, буд. 33 кв. 05, Новоукраїнка, 95004",+380 (59) 189-40-72,nmatviienko@example.org
Карпа,Анжела,Юріївна,Жіноча,1939-05-05,Пекар,місто Зборів,"провулок 21-й км Старокиївської дороги, буд. 74 кв. 941, Мар'їнка, 33447",+380 19 107-47-03,xmishchenko@example.com
Вівчаренко,Ілля,Павлович,Чоловіча,1972-09-11,М'ясник,хутір Корсунь-Шевченківський,"набережна Сумський, буд. 4 кв. 655, Євпаторія, 70558",+380 75 279-36-43,aprytula@example.net
Литвиненко,Емілія,Петрівна,Жіноча,1960-11-17,Гірник,село Жовква,"шосе Путьова, буд. 12, Долинська, 76386",+380 83 057-56-64,akymenkoviacheslav@example.com
Петлюра,Марта,Богданівна,Жіноча,2000-03-29,Редактор,хутір Мерефа,"набережна Черепанових, буд. 2 кв. 5, Ватутіне, 55485",030 467-90-75,tymofiipushkar@example.com
Носаченко,Федір,Миколайович,Чоловіча,1991-10-24,Пілот,місто Гуляйполе,"площа Красна, буд. 135 кв. 3, Алмазна, 82092",075 122-91-85,ruslan89@example.net
Оліфіренко,Єлисавета,Олександрівна,Жіноча,1940-09-13,Бібліограф,село Нетішин,"парк Любашівський, буд. 015, Слов'янськ, 29709",056 096 95 35,sviatoslavakybkalo@example.org
Сірко,Златослава,Андріївна,Жіноча,1953-02-26,Стоматолог,хутір Дергачі,"провулок Фонтанська дорога, буд. 9 кв. 651, Коломия, 13111",698 38 94,upoltavets@example.org
Черінько,Галина,Сергіївна,Жіноча,1958-11-15,Педагог,селище Винники,"площа Слобідська, буд. 984, Христинівка, 54698",+380 (76) 610-32-80,trokhym19@example.net
Данченко,Розалія,Іванівна,Жіноча,1948-01-06,Дипломат,місто Молодогвардійськ,"проспект Поперечний, буд. 32, Новодністровськ, 83599",506-97-34,olha44@example.org
Оробець,Болеслав,Павлович,Чоловіча,1968-11-11,Золотар,хутір Кам'янське,"вулиця Ватманський, буд. 02 кв. 7, Лутугине, 51366",071 030-90-04,emazur@example.net
Масоха,Єлисавета,Олександрівна,Жіноча,1981-01-14,Машиніст,село Вижниця,"проспект Флотський 2-й, буд. 8, Теплодар, 42704",+380 71 668 15 91,sradchenko@example.net
Яковенко,Юстим,Юрійович,Чоловіча,1963-04-13,Ріелтор,село Стебник,"шосе Рішельєвська, буд. 6 кв. 84, Горлівка, 54917",046-46-64,khrystychviacheslav@example.com
Шило,Данило,Степанович,Чоловіча,2001-05-25,Фотограф,село Новий Калинів,"проспект Обривиста, буд. 4, Кілія, 10544",609-23-58,semensvystun@example.net
Їжакевич,Артем,Тарасович,Чоловіча,1940-08-30,Золотар,село Карлівка,"шосе Іспанський, буд. 9, Світлодарськ, 98369",+380 (63) 618-70-02,idurdynets@example.org
Удовиченко,Світлана,Георгіївна,Жіноча,1960-11-28,Патологоанатом,селище Хоростків,"площа Трудових резервів, буд. 7, Яворів, 81719",+380 83 571-11-50,zdemianiuk@example.org
Килимник,Маруся,Петрівна,Жіноча,2001-06-10,Біолог,село Березівка,"набережна Дюківський сад, буд. 8, Славута, 23804",+380 (72) 329-22-91,xstus@example.org
Шиян,Леон,Миколайович,Чоловіча,1952-03-10,Нотаріус,місто Конотоп,"площа Олександра Невського 1-й, буд. 2 кв. 188, Хотин, 99834",436-62-16,ovsiienkorostyslav@example.org
Сіробаба,Назар,Сергійович,Чоловіча,1949-10-12,Професор,хутір Конотоп,"вулиця Липнева, буд. 0, Мерефа, 68256",053 377 18 21,levkosirko@example.com
Петрик,Болеслав,Михайлович,Чоловіча,1995-05-06,Художник,місто Шахтарськ,"площа Залізничний 3-й, буд. 174 кв. 18, Костопіль, 61299",+380 45 200-21-85,wbezborodko@example.net
Засядько,Адам,Іванович,Чоловіча,1976-04-28,Програміст,селище Броди,"узвіз Новий, буд. 132 кв. 284, Хорол , 97028",886-25-60,zorian51@example.com
Ковпак,Марко,Миколайович,Чоловіча,1946-07-22,Агроном,селище Бунге ,"проспект Аграрна, буд. 8, Володимир-Волинський, 40152",+380 (96) 589-04-47,halynanazarenko@example.org
Зінченко,Давид,Юрійович,Чоловіча,1963-05-26,Модель,селище Нова Одеса,"набережна Бреуса, буд. 2, Мелітополь, 51759",742 34 92,lukian72@example.org
Ващук,Юхим,Павлович,Чоловіча,2002-05-20,Публіцист,село Привілля,"проспект Цегляна, буд. 50 кв. 899, Підгородне, 29270",+380 34 778-13-13,ostapvdovenko@example.net
Верес,Аврелій,Юрійович,Чоловіча,2002-12-03,Журналіст,місто Узин,"сквер Крилова, буд. 1, Славута, 56106",248 88 45,leon17@example.org
Чайка,Галина,Вікторівна,Жіноча,1979-08-19,Науковець,селище Ялта,"площа Миколи Плигуна, буд. 444, Ізюм, 89253",+380 54 917-61-79,tteslenko@example.com
Гоголь-Яновський,Артем,Георгійович,Чоловіча,1942-09-02,Шериф,хутір Волочиськ,"вулиця Проценка, буд. 58 кв. 362, Корсунь-Шевченківський, 61121",863-22-44,nzhuk@example.org
Цісик,Олег,Олександрович,Чоловіча,1975-12-09,Паралегал,село Армянськ,"провулок Восьмого березня 4-й, буд. 8, Бердянськ, 09998",025 892 63 17,lvertyporokh@example.org
Кармалюк,Франц,Тарасович,Чоловіча,1959-05-25,Євнух,місто Первомайськ,"вулиця Благовидової, буд. 297, Нова Одеса, 06646",+380 29 168-83-37,pavlo17@example.com
Яремків,Веніямин,Іванович,Чоловіча,1985-12-21,Фермер,село Міусинськ,"вулиця Троїцька, буд. 87, Вільнянськ, 54956",+380 63 969-72-35,haleksiuk@example.net
Бабиченко,Соломон,Сергійович,Чоловіча,1972-03-29,Клоун,хутір Гуляйполе,"вулиця Просьолочна, буд. 8 кв. 0, Іловайськ, 43872",+380 62 185 34 96,bohuslavapylypenko@example.org
Фурс,Святослав,Євгенович,Чоловіча,1977-10-18,Кінолог,хутір Тараща,"шосе М’ясоєдовська, буд. 83 кв. 84, Старобільськ, 78416",+380 61 054-28-87,priska85@example.org
Бевз,Климент,Іванович,Чоловіча,1967-10-19,Письменник,село Копичинці,"проспект Стамбульський, буд. 451, Корець, 65285",018 578-33-54,kovalenkoiukhym@example.org
Худобʼяк,Веніямин,Андрійович,Чоловіча,1993-11-15,Електромонтажник,місто Моршин,"вулиця Трамвайний, буд. 286 кв. 3, Первомайськ, 15566",+380 37 451-64-18,ziaremenko@example.org
Алексійчук,Данило,Павлович,Чоловіча,1993-04-25,Зоолог,село Красноперекопськ,"провулок Миколи Бажана, буд. 64, Верхньодніпровськ, 12228",057 906 00 98,vlokhoksana@example.org
Пушкар,Едита,Юріївна,Жіноча,1979-07-22,Єгер,селище Дергачі,"сквер Аеродромний 2-й, буд. 3 кв. 30, Олександрія, 65501",099 511-13-08,clavrenko@example.com
Андрійчук,Руслан,Юрійович,Чоловіча,1998-06-04,Штукатур,хутір Підгайці,"вулиця Хаджибейський 3-й, буд. 07, Івано-Франківськ, 33458",+380 (66) 420-13-32,maksym13@example.net
Тесленко,Розалія,Богданівна,Жіноча,2006-10-25,Математик,місто Рівне,"провулок Юхима Фесенка, буд. 2, Херсон, 12066",023 365-50-37,bzhuk@example.org
Базилевський,Пантелеймон,Миколайович,Чоловіча,1947-04-27,Мистецтвознавець,місто Белз,"узвіз Західний 2-й, буд. 481 кв. 7, Арциз, 03908",075 213-20-03,ivanchenkobohuslava@example.com
Деряжна,Орися,Георгіївна,Жіноча,2001-08-28,Провізор,село Южноукраїнськ,"сквер Щукіна, буд. 769 кв. 2, Бердичів, 88471",538-24-56,viacheslav28@example.org
Рева,Симон,Павлович,Чоловіча,1974-01-29,Кушнір,селище Макіївка,"узвіз Чапаєва 2-й, буд. 892, Ізмаїл, 71328",+380 00 609-14-19,demiannehoda@example.com
Єсипенко,Олег,Дмитрович,Чоловіча,2001-01-30,Євнух,селище Хмільник,"парк Нова, буд. 22, Чоп, 15233",+380 93 018-92-90,rkabanenko@example.net
Мірошниченко,Марія,Богданівна,Жіноча,1948-09-13,Ґрунтознавець,село Южноукраїнськ,"набережна Кришталева, буд. 56 кв. 5, Харцизьк, 66394",+380 (40) 759-36-73,iushchenkodemian@example.com
Петрик,Демид,Андрійович,Чоловіча,1959-08-08,Кінорежисер,селище Жданівка,"сквер Віри Інбер, буд. 445 кв. 39, Лохвиця, 72524",869 42 72,malyshkostefan@example.com
Єсипенко,Пріска,Дмитрівна,Жіноча,1980-04-21,Медик,хутір Березівка,"провулок Моторний 2-й, буд. 96, Дніпрорудне, 79637",530 04 50,adubyna@example.com
Баштан,Алевтин,Степанович,Чоловіча,1953-04-21,Астронавт,хутір Новоселиця,"вулиця Магістральна, буд. 8 кв. 981, Корсунь-Шевченківський, 79334",+380 55 901 84 40,arkadii23@example.com
Килимник,Аліна,Тарасівна,Жіноча,1941-07-22,Гицель,село Бібрка,"площа 10-та Суворовська, буд. 5 кв. 13, Бережани, 46288",064 499-44-40,symonenkomartyn@example.net
Худобʼяк,Назар,Євгенович,Чоловіча,2007-04-21,Кінолог,місто Новодружеськ,"площа Дністровська, буд. 580, Нова Одеса, 29594",+380 (73) 907-79-41,itykhyi@example.net
Цюпа,Віктор,Васильович,Чоловіча,1961-12-15,Гірник,місто Заводське,"сквер Бугаївська, буд. 637, Українськ, 16978",+380 (91) 018-77-61,hryhoriiivasiuk@example.net
Сиротенко,Лариса,Олегівна,Жіноча,1992-02-03,Математик,місто Тиврів,"провулок Павла Кравцова, буд. 86 кв. 33, Сарни, 90266",+380 00 476 59 89,feofan78@example.net
Ватаманюк,Клавдія,Вікторівна,Жіноча,1951-11-15,Електромонтер,село Перемишляни,"набережна Партизанська, буд. 950 кв. 7, Валки , 69287",+380 14 602-36-35,sviatoslavachupryna@example.com
Аверченко,Азар,Богданович,Чоловіча,1986-09-19,Геофізик,хутір Снятин,"набережна Нова, буд. 92 кв. 479, Херсон, 98651",520-37-85,jvermenych@example.org
Пʼятаченко,Амвросій,Сергійович,Чоловіча,1956-05-16,Патологоанатом,місто Берестечко,"провулок Скляний 3-й, буд. 138, Калинівка , 61441",+380 02 858 44 63,zdanchenko@example.com
Демʼянюк,Еріка,Вікторівна,Жіноча,1975-06-04,Медик,місто Чернівці,"провулок Романтиків, буд. 732, Дніпрорудне, 02931",+380 13 975-51-37,hordii84@example.org
Чайка,Адам,Євгенович,Чоловіча,1943-11-30,Фольклорист,хутір Шумськ,"сквер Олександра Матросова, буд. 663, Жовті Води, 79241",444-36-79,danyliukemiliia@example.org
Піддубна,Валентина,Василівна,Жіноча,1995-04-12,Ботанік,селище Вінниця,"парк Український 3-й, буд. 51 кв. 31, Люботин, 61469",038 494 01 71,bohuslavazakharenko@example.net
Сомко,Маруся,Іванівна,Жіноча,1953-02-02,М'ясник,хутір Ірміно,"шосе Шостої 1-й, буд. 006, Мена , 04592",034 940 79 38,iustynaromanenko@example.org
Ісаєвич,Марта,Олегівна,Жіноча,1939-03-08,Візажист,хутір Старокостянтинів,"сквер Брестська, буд. 4, Вознесенівка, 49887",619 01 38,pdzyndra@example.org
Дергач,Артем,Петрович,Чоловіча,1968-11-30,Акушер,місто Новий Розділ,"парк Балтський 6-й, буд. 06 кв. 5, Дніпрорудне, 19196",+380 (29) 171-31-14,vitalii19@example.com
Приймак,Леонтій,Андрійович,Чоловіча,1947-12-15,Бібліограф,село Тиврів,"провулок Волниста, буд. 7 кв. 040, Жмеринка, 70359",610-94-00,tarasrudyk@example.net
Чекалюк,Геннадій,Степанович,Чоловіча,1996-03-13,Електрослюсар,село Жмеринка,"сквер Бориса Дерев'янка, буд. 850 кв. 036, Ялта, 39406",049 052-44-80,anita30@example.com
Ващук,Едуард,Михайлович,Чоловіча,1973-06-22,Мінералог,місто Федорівка,"вулиця Амбулаторний, буд. 709, Ірпінь, 46621",053 937-52-09,albinabaklan@example.com
Асаула,Володимир,Андрійович,Чоловіча,2002-04-11,Актор,село Міусинськ,"набережна Зарічна, буд. 34, Ясинувата, 21717",+380 06 397-97-71,pmiroshnychenko@example.com
Семенченко,Надія,Георгіївна,Жіноча,1988-04-05,Мікробіолог,село Вознесенськ,"провулок Молодіжна, буд. 9 кв. 099, Добропілля, 50924",+380 35 305 82 81,hannachernenko@example.com
Верховинець,Юстим,Іванович,Чоловіча,1996-10-29,Астроном,село Сокаль,"шосе 11-та Суворовська, буд. 073 кв. 9, Верхівцеве, 85572",+380 14 942 01 53,iakymchukkhrystyna@example.net
Конопленко,Марʼяна,Михайлівна,Жіноча,1999-05-11,Музикант,село Мала Виска,"проспект Покровський, буд. 8 кв. 97, Кальміуське, 78224",+380 36 892-68-79,nkolesnychenko@example.com
Бабʼяк,Зиновій,Вікторович,Чоловіча,1978-01-17,Пілот,селище Шепетівка,"шосе Східчастий 4-й, буд. 3, Сіверськ, 68583",+380 05 712-38-26,ckhmara@example.com
Стець,Марина,Романівна,Жіноча,1980-07-15,Краєзнавець,хутір Антрацит ,"шосе Східний, буд. 957 кв. 644, Антрацит , 91178",+380 (74) 902-84-95,babiihalyna@example.net
Прокопович,Святослав,Васильович,Чоловіча,2001-01-07,Епідеміолог,хутір Житомир,"проспект Махачкалинська, буд. 378 кв. 21, Радехів, 69996",+380 89 305-90-10,prokhirbaran@example.net
Вертипорох,Віра,Петрівна,Жіноча,2004-04-18,Диригент,село Волноваха,"узвіз Змієнка Всеволода, буд. 7, Довжанськ, 83946",039 404 00 40,semen32@example.com
Ісаєвич,Борислав,Юрійович,Чоловіча,1938-11-25,Мистецтвознавець,хутір Берислав,"парк 11-та Лінія Марії Демченко, буд. 7, Ківерці, 48905",014 364-30-74,bazavluchenkookhrim@example.net
Гаврилишин,Ростислав,Олегович,Чоловіча,1996-11-04,Гицель,село Біла Церква,"набережна Мельницька, буд. 9 кв. 357, Славутич, 75903",+380 05 855-33-87,dtsymbal@example.org
Лавренко,Вʼячеслав,Дмитрович,Чоловіча,1970-12-19,Актор,хутір Львів,"проспект Ширшова, буд. 526 кв. 1, Подільськ, 23252",014 307 00 80,bohuslavaakulenko@example.com
Андрусенко,Алевтин,Сергійович,Чоловіча,1985-06-13,Модельєр,місто Чистякове,"узвіз Іванівський переїзд, буд. 4 кв. 595, Гірник , 42712",+380 99 803 36 20,orkhyp62@example.net
Давимука,Варвара,Євгенівна,Жіноча,1981-01-05,Електротехнік,селище Пирятин,"провулок Болградська, буд. 76, Дніпрорудне, 65920",865 63 64,demian02@example.com
Рябовіл,Леон,Петрович,Чоловіча,1950-10-27,Мовознавець,село Рожище,"узвіз Акордна, буд. 598 кв. 94, Марганець , 82167",281 88 46,azhazhaviktoriia@example.net
Єрмоленко,Дарина,Олександрівна,Жіноча,1979-08-02,Журналіст,хутір Житомир,"площа Шампанський, буд. 01, Світлодарськ, 45275",631 90 28,havrylo85@example.org
Дейнеко,Соломія,Олегівна,Жіноча,1968-10-08,Водій,місто Моршин,"узвіз Хлібна гавань, буд. 4 кв. 66, Херсон, 84628",+380 93 857-57-13,kamillalytvyn@example.net
Остапчук,Демид,Іванович,Чоловіча,1961-01-18,Бухгалтер,селище Корсунь-Шевченківський,"набережна Стамбульський, буд. 2 кв. 15, Ананьїв, 50436",+380 72 228 16 10,alevtyn56@example.net
Дробʼязко,Аарон,Миколайович,Чоловіча,1977-09-30,Пекар,хутір Жовква,"вулиця Ільфа і Петрова, буд. 146 кв. 732, Молочанськ, 28245",+380 (13) 690-49-21,masokhaalbina@example.com
Швачко,Вікторія,Богданівна,Жіноча,1995-06-13,Астроном,селище Амвросіївка,"узвіз Трамвайний, буд. 86, Енергодар, 44561",+380 60 333-56-39,bohdanarkhymovych@example.org
Яценюк,Левко,Олександрович,Чоловіча,1973-03-27,Пекар,село Арциз,"набережна Наявний 3-й, буд. 27 кв. 68, Новий Калинів, 52942",+380 18 636-32-99,bevzenkoomelian@example.net
Гук,Спас,Євгенович,Чоловіча,1952-07-31,Реабілітолог,хутір Рудки,"сквер Першотравневий 3-й, буд. 723 кв. 51, Сулимівка (Слов'янськ), 45044",+380 (06) 042-57-90,prudyk@example.org
Гоголь-Яновська,Ада,Тарасівна,Жіноча,1942-11-18,Агроном,місто Нове Давидково,"шосе Пролетарський 3-й, буд. 8 кв. 43, Щастя , 87224",+380 06 671-55-86,protsenkoiaroslav@example.net
Данильчук,Орися,Степанівна,Жіноча,2006-06-19,Петрограф,село Апостолове,"вулиця Лінія 50-та, буд. 0 кв. 6, Очаків, 42848",+380 46 750 13 73,avrelii39@example.com
Скиба,Сніжана,Сергіївна,Жіноча,1955-07-14,Палеонтолог,місто Білозерське,"сквер Болградська, буд. 53 кв. 93, Золоте, 39799",022 198-77-85,hbabiak@example.com
Аверченко,Леон,Павлович,Чоловіча,1973-11-08,Електрик,хутір Волочиськ,"вулиця Лип Івана та Юрія, буд. 031, Броди, 68281",+380 02 330-43-53,feofanrubets@example.com
Дашкевич,Ярема,Іванович,Чоловіча,1952-03-09,Зоолог,хутір Подільськ,"узвіз Новоселів, буд. 8 кв. 739, Коростень, 05000",+380 58 312-87-21,sirobabaedyta@example.org
Охріменко,Єлисавета,Вікторівна,Жіноча,1993-08-19,Підприємець,хутір Теплодар,"набережна Пироговська, буд. 029 кв. 784, Старий Крим, 72408",906 14 63,kshutko@example.com
Вовк,Надія,Георгіївна,Жіноча,1983-03-11,Випробувач,селище Прип'ять ,"набережна Калнишевського Петра, буд. 0 кв. 1, Галич, 77007",085 388-04-09,varfolomiinesterenko@example.net
Харченко,Володимира,Сергіївна,Жіноча,2000-05-28,Геофізик,село Молодогвардійськ,"сквер Шефська, буд. 366, Гадяч, 47162",+380 32 997-75-73,zakhar42@example.net
Титаренко,Костянтин,Романович,Чоловіча,1985-09-07,Державний службовець,селище Моршин,"узвіз Богдана Хмельницького, буд. 2, Семенівка, 65958",892 88 96,myron01@example.com
Гриценко,Аніта,Василівна,Жіноча,1970-07-31,Адвокат,селище Міусинськ,"узвіз Матюшенка, буд. 969 кв. 20, Кіцмань, 09762",+380 (33) 980-78-55,teodorshapoval@example.com
Овчаренко,Оксана,Олександрівна,Жіноча,1977-01-28,Стропальник,хутір Кремінна,"вулиця Стахановський 4-й, буд. 85 кв. 32, Коломия, 90416",+380 89 144-43-42,criabchenko@example.com
Артимишин,Ярема,Іванович,Чоловіча,1961-09-12,Ветеринар,хутір Берислав,"шосе Героїв Небесної Сотні, буд. 38, Новомосковськ, 31645",+380 (56) 291-32-00,liza26@example.net
Венгринович,Богданна,Андріївна,Жіноча,1965-02-01,Футболіст,хутір Турка,"вулиця Парашутний, буд. 54 кв. 9, Білгород-Дністровський, 48741",+380 84 700 37 52,trokhymverhun@example.com
Штепа,Сніжана,Євгенівна,Жіноча,1946-09-06,Секретар,хутір Таврійськ,"площа Килимовий, буд. 210, Новий Розділ, 08509",+380 (24) 846-54-32,artemrebryk@example.net
Іваничук,Розалія,Олександрівна,Жіноча,1943-09-17,Гірник,місто Лебедин,"шосе Майстерний, буд. 723 кв. 52, Гребінка, 96533",876-96-23,amvrosiigzhytska@example.net
Швайка,Валерій,Степанович,Чоловіча,1983-03-29,Флорист,селище Радомишль,"сквер Просьолочна, буд. 7 кв. 45, Мар'їнка, 89900",+380 (47) 548-00-48,nesterenkopanteleimon@example.com
Гавриш,Христина,Романівна,Жіноча,1998-01-26,Публіцист,місто Першотравенськ,"парк Місячна, буд. 0 кв. 4, Ужгород, 17238",+380 (10) 064-95-46,varfolomii13@example.org
Іваничук,Амалія,Сергіївна,Жіноча,1950-06-22,Астрофізик,селище Пустомити,"узвіз Свободи, буд. 7 кв. 37, Моршин, 97946",394 73 74,mykhailo51@example.com
Василенко,Климент,Михайлович,Чоловіча,1959-09-07,Бібліотекар,хутір Вижниця,"шосе Миколи Плигуна, буд. 4 кв. 19, Корсунь-Шевченківський, 83537",423-66-76,demydgalagan@example.com
Лагода,Стефан,Вікторович,Чоловіча,1980-10-06,Композитор,хутір Теплодар,"парк Миколи Гефта, буд. 0, Нова Одеса, 90397",480 62 27,ezubko@example.com
Ісаєвич,Федір,Миколайович,Чоловіча,1973-03-14,Астронавт,село Жданівка,"сквер Ніжинська, буд. 75 кв. 09, Очаків, 78869",952 25 32,dakhnoerika@example.org
Ващук,Дан,Богданович,Чоловіча,1984-09-06,Шериф,місто Кам'янка (Черкаська область),"сквер Студентський 1-й, буд. 45 кв. 776, Обухів, 21003",+380 (11) 616-62-94,olhaiakymenko@example.net
Жук,Олександр,Павлович,Чоловіча,1947-09-21,Літературознавець,хутір Саки ,"площа Хаджибейський 2-й, буд. 5 кв. 67, Гайворон, 47807",+380 87 052-84-99,iosyplysenko@example.com
Зарудний,Леонід,Вікторович,Чоловіча,1989-04-21,Мікробіолог,хутір Вільногірськ,"проспект Кленова, буд. 21, Хуст, 05772",+380 (86) 678-32-42,erika79@example.com
Аверченко,Едита,Дмитрівна,Жіноча,2004-03-06,Головний меркшейдер,місто Стрий,"парк Восьмого березня узвіз, буд. 367 кв. 83, Шаргород, 98117",+380 67 963 94 20,iefremiaremko@example.com
Голобородько,Віталій,Михайлович,Чоловіча,1985-08-27,Педагог,хутір Родинське,"набережна Космонавта Комарова, буд. 8, Біляївка, 42777",000 812 98 82,myronzaruba@example.net
Гриценко,Тереза,Георгіївна,Жіноча,1967-01-07,Електротехнік,село Мена ,"вулиця Зелена, буд. 530 кв. 226, Дергачі, 22355",194-95-15,dankoviacheslav@example.com
Колодуб,Гліб,Володимирович,Чоловіча,1956-09-26,Водій,місто Федорівка,"провулок Володі Дубініна, буд. 0 кв. 3, Миколаївка , 47830",388 90 76,tetiana23@example.net
Авраменко,Одарка,Миколаївна,Жіноча,1982-04-22,Промисловець,хутір Трускавець,"набережна Лінія 23-тя, буд. 718 кв. 821, Енергодар, 89757",+380 40 681-01-42,edyta31@example.net
Данченко,Зорян,Іванович,Чоловіча,1946-06-19,Шериф,селище Балта,"проспект Героїв Небесної Сотні, буд. 426, Тисмениця, 98443",919-61-40,anitaiushchenko@example.org
Гузій,Василина,Олегівна,Жіноча,1974-11-18,Нотаріус,місто Узин,"набережна Теплична, буд. 181, Вільногірськ, 72385",+380 42 759-26-53,liliiaiakymenko@example.org
Дубенко,Наталія,Миколаївна,Жіноча,1948-05-14,Фармацевт,місто Гайворон,"площа Посівна, буд. 9 кв. 14, Підгородне, 69851",567 78 80,andrii37@example.net
Макаренко,Ярема,Дмитрович,Чоловіча,1997-02-26,Краєзнавець,село Берестечко,"парк Сухолиманна, буд. 85, Берегове, 65905",+380 54 733 97 01,edyta59@example.com
Самойленко,Володимир,Михайлович,Чоловіча,2000-10-27,Лікар,селище Луцьк,"парк Шевченка, буд. 5 кв. 2, Чуднів, 21929",+380 69 020-89-11,dzatovkaniuk@example.org
Семенченко,Пилип,Романович,Чоловіча,2008-08-24,Ді-джей,місто Жмеринка,"сквер Окружна, буд. 05 кв. 2, Тараща, 11397",436 97 01,boleslav37@example.net
Бебешко,Костянтин,Богданович,Чоловіча,1980-02-24,Епідеміолог,село Винники,"площа Гвоздична, буд. 145 кв. 737, Батурин, 66026",831 69 77,yiaremkiv@example.com
Бабариченко,Ірена,Романівна,Жіноча,1995-11-23,Програміст,селище Зеленодольськ,"парк Текстильників, буд. 20 кв. 632, Кременець, 61078",+380 01 995-62-92,kyrylenkomykhailyna@example.org
Юхименко,Валерій,Степанович,Чоловіча,1985-02-14,Кінокритик,місто Костянтинівка,"шосе Сирітський 2-й, буд. 309, Щолкіне, 15847",224-93-21,sofiiazhurba@example.org
Михалюк,Петро,Вікторович,Чоловіча,2005-04-30,Державний службовець,хутір Глобине,"сквер Дорбуду, буд. 07, Славута, 05445",371 48 85,sruban@example.net
Акименко,Юстина,Андріївна,Жіноча,1953-08-07,Слідчий,місто Кодима,"площа Пржевальського, буд. 455, Сніжне, 96185",+380 81 716 18 57,tzharko@example.com
Бебешко,Юстина,Іванівна,Жіноча,2000-11-23,Астрофізик,хутір Олевськ,"парк Байдарочний, буд. 51, Єнакієве, 24743",277 38 56,ieva73@example.com
Дзюба,Богдан,Петрович,Чоловіча,1989-05-29,Мінералог,місто Винники,"сквер Восьмого березня узвіз, буд. 76, Кам'янка-Бузька, 33842",044 323 78 67,qeibozhenko@example.net
Юрченко,Орина,Степанівна,Жіноча,1983-03-28,Зоолог,хутір Хуст,"проспект Москеті, буд. 861, Кам'янське, 02317",048 614-69-35,okseniiapylypenko@example.net
Гречко,Геннадій,Михайлович,Чоловіча,1951-02-11,Археолог,місто Рубіжне,"провулок Шостої 1-й, буд. 41 кв. 1, Одеса, 61343",+380 57 801 90 86,iakiviakymchuk@example.com
Чарниш,Азар,Дмитрович,Чоловіча,1984-10-13,Шериф,хутір Гребінка,"узвіз Тираспольське, буд. 751 кв. 94, Золочів, 53769",027 436-05-14,unazarenko@example.net
Христич,Руслан,Володимирович,Чоловіча,1953-11-05,Фотограф,селище Бровари,"узвіз Чумацька, буд. 9, Костопіль, 75834",092 538 60 28,rvivcharenko@example.net
Ткач,Симон,Степанович,Чоловіча,1939-03-03,Фольклорист,місто Самбір,"парк Марії Демченко, буд. 3, Жовті Води, 30291",506 23 68,izhakoksana@example.org
